window,train_start,train_end,test_start,test_end,failed,failure_reason,base_total_trades,base_win_rate,base_net_profit,base_total_return_pct,base_expectancy,base_profit_factor,base_max_drawdown_pct,base_sharpe_ratio,base_total_costs,full_total_trades,full_win_rate,full_net_profit,full_total_return_pct,full_expectancy,full_profit_factor,full_max_drawdown_pct,full_sharpe_ratio,full_total_costs,nifty_buy_hold_pct,equal_weight_pct,rule_engine_pct,random_selection_pct
W1,2025-01-13,2026-01-12,2026-01-13,2026-04-12,False,,5,60.0,67.48,1.35,13.5,1.58,3.13,0.87,17.29,5,60.0,26.1,0.52,5.22,1.24,3.6,0.47,15.04,-6.54,-3.84,1.12,1.21
W2,2025-04-13,2026-04-12,2026-04-13,2026-07-12,False,,17,35.3,-197.24,-3.94,-11.6,0.49,6.87,-3.01,52.55,5,0.0,-85.85,-1.72,-17.17,0.0,2.33,-8.44,9.26,1.53,3.72,-0.92,-0.25
